"Date","Price","Open","High","Low","Change %"
"02/04/2025","3.299","3.428","3.441","3.299","-3.82%"
"02/03/2025","3.430","3.470","3.470","3.430","-0.23%"
"01/28/2025","3.438","3.531","3.548","3.438","-2.63%"
"01/27/2025","3.531","3.531","3.531","3.531","0.06%"
"01/24/2025","3.529","3.529","3.529","3.529","0.00%"
"01/23/2025","3.529","3.542","3.581","3.529","-0.28%"
"01/22/2025","3.539","3.578","3.578","3.539","-1.09%"
"01/21/2025","3.578","3.600","3.600","3.578","-1.46%"
"01/20/2025","3.631","3.630","3.640","3.630","0.08%"
"01/17/2025","3.628","3.601","3.630","3.601","0.83%"
"01/16/2025","3.598","3.581","3.598","3.581","0.81%"
"01/15/2025","3.569","3.690","3.760","3.569","-3.31%"
"01/14/2025","3.691","3.680","3.691","3.680","-2.10%"
"01/13/2025","3.770","3.779","3.779","3.760","-0.21%"
"01/10/2025","3.778","3.752","3.778","3.752","0.75%"
"01/09/2025","3.750","3.780","3.780","3.750","-0.79%"
"01/08/2025","3.780","3.798","3.798","3.780","-0.53%"
"01/07/2025","3.800","3.829","3.850","3.800","-1.09%"
"01/06/2025","3.842","3.851","3.851","3.842","-0.18%"
"01/03/2025","3.849","3.880","3.880","3.849","-0.75%"
"01/02/2025","3.878","3.930","3.930","3.878","-1.85%"
"12/31/2024","3.951","3.928","3.961","3.928","0.56%"
"12/30/2024","3.929","3.929","3.929","3.929","-0.05%"
"12/27/2024","3.931","3.958","3.958","3.931","-0.76%"
"12/24/2024","3.961","3.961","3.961","3.961","0.84%"
"12/23/2024","3.928","3.881","3.928","3.881","1.26%"
"12/20/2024","3.879","3.911","3.911","3.879","-0.74%"
"12/19/2024","3.908","3.922","3.930","3.908","-0.28%"
"12/18/2024","3.919","3.950","3.950","3.889","-0.58%"
"12/17/2024","3.942","3.942","3.942","3.942","-0.18%"
"12/16/2024","3.949","3.931","3.980","3.931","0.53%"
"12/13/2024","3.928","3.928","4.000","3.900","-0.05%"
"12/12/2024","3.930","3.930","3.957","3.930","0.05%"
"12/11/2024","3.928","3.941","3.941","3.928","-2.51%"
"12/10/2024","4.029","4.020","4.030","3.970","1.49%"
"12/09/2024","3.970","3.900","4.021","3.891","1.74%"
"12/06/2024","3.902","3.920","3.980","3.902","-0.46%"
"12/05/2024","3.920","3.930","3.930","3.913","-0.20%"
"12/04/2024","3.928","3.980","3.980","3.919","-1.55%"
"12/03/2024","3.990","3.992","3.992","3.979","-0.55%"
"12/02/2024","4.012","4.030","4.030","3.998","0.10%"
"11/29/2024","4.008","4.030","4.030","3.930","-0.79%"
"11/28/2024","4.040","4.018","4.040","3.930","0.52%"
"11/27/2024","4.019","4.040","4.062","3.930","1.70%"
"11/26/2024","3.952","4.002","4.002","3.952","-1.15%"
"11/25/2024","3.998","3.949","3.998","3.949","1.19%"
"11/22/2024","3.951","3.968","3.980","3.951","-0.73%"
"11/21/2024","3.980","3.948","3.980","3.948","0.76%"
"11/20/2024","3.950","3.980","4.006","3.950","-0.73%"
"11/19/2024","3.979","3.950","3.979","3.950","-1.27%"
"11/18/2024","4.030","4.021","4.030","4.021","0.20%"
"11/15/2024","4.022","4.008","4.022","4.008","0.32%"
"11/14/2024","4.009","4.049","4.049","4.009","-0.99%"
"11/13/2024","4.049","4.010","4.049","4.010","3.53%"
"11/12/2024","3.911","3.920","3.920","3.911","-0.28%"
"11/11/2024","3.922","3.922","3.931","3.909","0.05%"
"11/08/2024","3.920","3.920","3.928","3.920","-0.05%"
"11/07/2024","3.922","3.891","3.922","3.891","0.85%"
"11/06/2024","3.889","3.882","3.890","3.880","-0.49%"
"11/05/2024","3.908","3.908","3.921","3.908","-0.08%"
"11/04/2024","3.911","3.911","3.911","3.851","0.08%"
"11/01/2024","3.908","3.900","3.908","3.900","0.67%"
"10/31/2024","3.882","3.882","3.882","3.882","-0.46%"
"10/30/2024","3.900","3.930","3.930","3.790","-0.76%"
