Date,HSI_Return
2019-03-31,0.014499112793127284
2019-04-30,0.022051780992827317
2019-05-31,-0.09895027279672919
2019-06-30,0.0592316025833583
2019-07-31,-0.02716306829079031
2019-08-31,-0.07678255448731537
2019-09-30,0.014186315841484597
2019-10-31,0.030736967656138297
2019-11-30,-0.021041010252400415
2019-12-31,0.0676233774102157
2020-01-31,-0.06890938464567697
2020-02-29,-0.006967651432166432
2020-03-31,-0.10168724182793046
2020-04-30,0.04312266731646109
2020-05-31,-0.07069923231220089
2020-06-30,0.06187926234861341
2020-07-31,0.006860544539962345
2020-08-31,0.023375464598742287
2020-09-30,-0.07067651733270014
2020-10-31,0.027263328980786504
2020-11-30,0.08862558574516734
2020-12-31,0.03321554149933904
2021-01-31,0.03792521637072847
2021-02-28,0.024327162700317984
